Lucas Oil Stadium, Indianapolis, IN	39.7601007	-86.1660764
Kinnick Stadium, Iowa City, IA	41.6586542	-91.553286
Pratt & Whitney Stadium at Rentschler Field, East Hartford, CT	41.7595675	-72.6209615
Memorial Stadium , Bloomington, IN	39.1809052	-86.527824
Bulldog Stadium , Fresno, CA	36.8144444	-119.7602443
Folsom Field, Boulder, CO	40.0094746	-105.2690937
Camp Randall Stadium, Madison, WI	43.06994	-89.414883
Ryan Field, Evanston, IL	42.0653994	-87.6946638
Aloha Stadium, Honolulu, HI	21.372647	-157.9320093
Sun Devil Stadium, Tempe, AZ	33.426453	-111.934762
LaVell Edwards Stadium, Provo, UT	40.2572768	-111.6567469
Nippert Stadium, Cincinnati, OH	39.131219	-84.5184217
Sports Authority Field, Denver, CO	39.7438895	-105.0222981
Los Angeles Memorial Coliseum, Los Angeles, CA	34.0140526	-118.2900641
Memorial Stadium , Berkeley, CA	37.8710434	-122.2529616
AT&T Stadium, Arlington, TX	32.7472844	-97.0966826
Martin Stadium, Pullman, WA	46.731831	-117.1626878
Husky Stadium, Seattle, WA	47.6503747	-122.3037827
Autzen Stadium, Eugene, OR	44.0584587	-123.0706567
Rice-Eccles Stadium, Salt Lake City, UT	40.7600023	-111.8510307
Spectrum Stadium, Orlando, FL	28.6082145	-81.1948083
Vaught-Hemingway Stadium, Oxford, MS	34.3619837	-89.5363963
Kyle Field, College Station, TX	30.6098883	-96.3425825
Vanderbilt Stadium, Nashville, TN	36.1438717	-86.8111297
Razorback Stadium, Fayetteville, AR	36.0680662	-94.1811421
Tiger Stadium , Baton Rouge, LA	30.412035	-91.186005
Liberty Bowl Memorial Stadium, Memphis, TN	35.1210966	-89.9796162
War Memorial Stadium , Laramie, WY	41.3117035	-105.5704734
Neyland Stadium, Knoxville, TN	35.9548981	-83.9271822
Bryant-Denny Stadium, Tuscaloosa, AL	33.2082752	-87.5525723
Jordan-Hare Stadium, Auburn, AL	32.6022279	-85.4912659
Sanford Stadium, Athens, GA	33.9498197	-83.37557
War Memorial Stadium , Little Rock, AR	34.749861	-92.3323155
