"week","sport","team1","team2","date","time","team1LogoUrl","team2LogoUrl","latitude","longitude"
"2","nfl","KC","OAK","Sunday, September 15","1:05 PM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/kc.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/oak.png&h=50","37.75141143798828","-122.20088958740234"
"2","ncaaf","LAM","TA&M","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2320.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&h=50","30.609888076782227","-96.34258270263672"
"2","ncaaf","CLEM","SYR","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&h=50","43.03622817993164","-76.13850402832031"
"2","ncaaf","NIU","NEB","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2459.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png&h=50","40.82063674926758","-96.70783233642578"
"2","ncaaf","IOWA","ISU","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&h=50","42.01399612426758","-93.6379623413086"
"2","ncaaf","OSU","IND","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&h=50","39.180904388427734","-86.52782440185547"
"2","ncaaf","AFA","COLO","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2005.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png&h=50","40.00947570800781","-105.26909637451172"
"2","ncaaf","UNC","WAKE","Thursday, September 12","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&h=50","36.13057327270508","-80.2567367553711"
"2","ncaaf","UNT","CAL","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/249.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png&h=50","37.87104415893555","-122.25296020507812"
"2","ncaaf","BCU","MIAMI","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2065.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&h=50","25.957965850830078","-80.24105072021484"
"2","nfl","NO","LAR","Sunday, September 15","1:25 PM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/no.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/lar.png&h=50","34.01405334472656","-118.2900619506836"
"2","ncaaf","ALA","SC","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png&h=50","33.973087310791016","-81.02137756347656"
"2","ncaaf","TCU","PUR","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png&h=50","40.43412399291992","-86.92156982421875"
"2","nfl","MIN","GB","Sunday, September 15","10:00 AM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/min.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/gb.png&h=50","44.501304626464844","-88.06216430664062"
"2","ncaaf","TEX","RICE","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&h=50","29.68321990966797","-95.41051483154297"
"2","nfl","SEA","PIT","Sunday, September 15","10:00 AM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/sea.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/pit.png&h=50","40.44678497314453","-80.01576232910156"
"2","nfl","ARI","BAL","Sunday, September 15","10:00 AM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/ari.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/bal.png&h=50","39.27796936035156","-76.62276458740234"
"2","ncaaf","SELA","MISS","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2545.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png&h=50","34.36198425292969","-89.5363998413086"
"2","nfl","CHI","DEN","Sunday, September 15","1:25 PM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/chi.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/den.png&h=50","39.743934631347656","-105.02009582519531"
"2","ncaaf","OKST","TLSA","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&h=50","36.14889144897461","-95.94596862792969"
"2","ncaaf","MONT","ORE","Saturday, September 14","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/149.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&h=50","44.0584602355957","-123.0706558227539"
"3","nfl","DEN","GB","Sunday, September 22","10:00 AM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/den.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/gb.png&h=50","44.501304626464844","-88.06216430664062"
"3","ncaaf","LOU","FSU","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&h=50","30.438152313232422","-84.30661010742188"
"3","ncaaf","MICH","WIS","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&h=50","43.06993865966797","-89.41488647460938"
"3","ncaaf","CAL","MISS","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png&h=50","34.36198425292969","-89.5363998413086"
"3","ncaaf","UCLA","WSU","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/265.png&h=50","46.73183059692383","-117.16268920898438"
"3","ncaaf","SC","MIZ","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png&h=50","38.935848236083984","-92.33538818359375"
"3","ncaaf","BALL","NCST","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2050.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&h=50","35.80080032348633","-78.72175598144531"
"3","ncaaf","ELON","WAKE","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&h=50","36.13057327270508","-80.2567367553711"
"3","ncaaf","WVU","KU","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png&h=50","38.96164321899414","-95.24764251708984"
"3","ncaaf","OKST","TEX","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&h=50","30.284292221069336","-97.7341537475586"
"3","ncaaf","TENN","FLA","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&h=50","29.649934768676758","-82.35076904296875"
"3","nfl","ATL","IND","Sunday, September 22","10:00 AM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/atl.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/ind.png&h=50","39.76005554199219","-86.16380310058594"
"3","nfl","NYG","TB","Sunday, September 22","1:05 PM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/nyg.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/tb.png&h=50","27.975967407226562","-82.50334930419922"
"3","nfl","LAR","CLE","Sunday, September 22","5:20 PM PST","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/lar.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/cle.png&h=50","41.50602340698242","-81.6995620727539"
"3","ncaaf","UCF","PITT","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&h=50","40.4467658996582","-80.01795196533203"
"3","ncaaf","BC","RUTG","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png&h=50","40.5135612487793","-74.46748352050781"
"3","ncaaf","APP","UNC","Saturday, September 21","TBD","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png&h=50","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&h=50","35.90696334838867","-79.05006408691406"
